"county","precinct","office","district","party","candidate","votes"
"Monroe","Leg. Dist. 29 17","President",,,"Total votes",234
"Monroe","Leg. Dist. 29 18","President",,,"Total votes",318
"Monroe","Leg. Dist. 29 19","President",,,"Total votes",223
"Monroe","Leg. Dist. 29 20","President",,,"Total votes",518
"Monroe","Leg. Dist. 29 21","President",,,"Total votes",396
"Monroe","Leg. Dist. 29 22","President",,,"Total votes",170
"Monroe","Leg. Dist. 29 23","President",,,"Total votes",302
"Monroe","Leg. Dist. 29 24","President",,,"Total votes",489
"Monroe","Leg. Dist. 29 25/28","President",,,"Total votes",464
"Monroe","Leg. Dist. 29 26","President",,,"Total votes",198
"Monroe","Brighton 1","President",,,"Total votes",511
"Monroe","Brighton 2","President",,,"Total votes",325
"Monroe","Brighton 3","President",,,"Total votes",434
"Monroe","Brighton 4","President",,,"Total votes",437
"Monroe","Brighton 5","President",,,"Total votes",446
"Monroe","Brighton 6","President",,,"Total votes",599
"Monroe","Brighton 7","President",,,"Total votes",390
"Monroe","Brighton 8","President",,,"Total votes",456
"Monroe","Brighton 9","President",,,"Total votes",407
"Monroe","Brighton 10","President",,,"Total votes",487
"Monroe","Brighton 11","President",,,"Total votes",525
"Monroe","Brighton 12","President",,,"Total votes",552
"Monroe","Brighton 13","President",,,"Total votes",297
"Monroe","Brighton 14","President",,,"Total votes",368
"Monroe","Brighton 15","President",,,"Total votes",374
"Monroe","Brighton 16","President",,,"Total votes",300
"Monroe","Brighton 17","President",,,"Total votes",258
"Monroe","Brighton 18","President",,,"Total votes",422
"Monroe","Brighton 19","President",,,"Total votes",280
"Monroe","Brighton 20","President",,,"Total votes",355
"Monroe","Brighton 21","President",,,"Total votes",387
"Monroe","Brighton 22","President",,,"Total votes",445
"Monroe","Brighton 23","President",,,"Total votes",330
"Monroe","Brighton 24","President",,,"Total votes",477
"Monroe","Brighton 25","President",,,"Total votes",342
"Monroe","Brighton 26","President",,,"Total votes",352
"Monroe","Brighton 27","President",,,"Total votes",332
"Monroe","Brighton 28","President",,,"Total votes",570
"Monroe","Brighton 29","President",,,"Total votes",344
"Monroe","Brighton 30","President",,,"Total votes",788
"Monroe","Brighton 31","President",,,"Total votes",371
"Monroe","Brighton 32","President",,,"Total votes",475
"Monroe","Brighton 33","President",,,"Total votes",466
"Monroe","Brighton 34","President",,,"Total votes",429
"Monroe","Brighton 35","President",,,"Total votes",393
"Monroe","Brighton 36","President",,,"Total votes",408
"Monroe","Brighton 37","President",,,"Total votes",327
"Monroe","Brighton 38","President",,,"Total votes",472
"Monroe","Brighton 39","President",,,"Total votes",358
"Monroe","Brighton 40","President",,,"Total votes",711
"Monroe","Brighton 41","President",,,"Total votes",627
"Monroe","Brighton 42","President",,,"Total votes",143
"Monroe","Brighton 43","President",,,"Total votes",480
"Monroe","Brighton 44","President",,,"Total votes",175
"Monroe","Brighton 45","President",,,"Total votes",332
"Monroe","Brighton 46","President",,,"Total votes",254
"Monroe","Chili 1","President",,,"Total votes",342
"Monroe","Chili 2","President",,,"Total votes",526
"Monroe","Chili 3","President",,,"Total votes",519
"Monroe","Chili 4","President",,,"Total votes",346
"Monroe","Chili 5","President",,,"Total votes",424
"Monroe","Chili 6","President",,,"Total votes",443
"Monroe","Chili 7","President",,,"Total votes",271
"Monroe","Chili 8","President",,,"Total votes",458
"Monroe","Chili 9","President",,,"Total votes",437
"Monroe","Chili 10","President",,,"Total votes",309
