Leg. Dist. 07,,,,,,,,,,
"",74,438,140,204,29,17,23,1,0,24
"",75,353,74,204,32,6,15,3,1,18
"",76,326,38,228,34,5,11,1,0,9
"",77,480,122,277,29,9,9,3,0,31
"",78,310,67,180,19,7,18,1,0,18
"",79,788,147,476,82,5,34,5,0,39
"",80,548,93,346,60,8,10,4,0,27
"",81,268,57,172,16,4,9,0,0,10
"",82,514,164,225,41,16,33,4,0,31
"",83,278,97,135,19,2,13,1,0,11
"",84,501,116,289,52,7,19,1,0,17
"",85,526,104,298,63,10,25,2,0,24
"",86,516,87,352,40,3,10,5,1,18
Greece,,,,,,,,,,
"",87,379,79,203,41,12,20,1,0,23
"",88,423,91,244,47,2,20,1,0,18
"",89,349,61,207,27,3,20,4,0,27
"",90,535,81,321,67,10,23,4,3,26
"",91,735,138,459,72,5,31,1,0,29
"",92,686,176,361,62,7,26,3,2,49
"",93,591,149,305,49,14,30,4,0,40
"",94,484,111,265,47,15,20,2,0,24
"",95,324,95,183,13,6,14,0,0,13
"",96,538,134,292,52,8,24,4,0,24
"",97,743,140,461,73,12,25,2,0,30
"",98,762,168,413,63,14,54,5,1,44
"",99,485,76,310,53,6,19,0,0,21
"",100,652,130,384,61,14,29,1,0,33
"",101,283,42,178,35,4,10,2,0,12
"",102,673,121,413,64,8,37,4,0,26
"",103,503,92,319,53,6,20,0,0,13
"",104,357,76,202,32,2,23,1,0,21
"",105,568,79,390,50,5,23,1,0,20
"",106,412,69,259,46,3,17,0,0,18
"",107,344,48,235,26,3,10,0,0,22
"",108,353,64,213,31,5,22,2,0,16
"",109,617,127,373,39,9,37,2,1,29
Greece,,"47,830","10,398","27,239","4,462",829,"2,223",215,20,"2,444"
Hamlin,,,,,,,,,,
"",1,452,100,225,56,10,31,3,0,27
"",2,473,70,283,74,5,19,3,0,19
"",3,482,79,274,66,7,25,1,0,30
"",4,340,48,209,42,7,13,1,1,19
"",5,426,69,255,51,12,18,4,0,17
"",6,371,76,219,34,5,15,1,1,20
"",7,547,90,336,60,12,26,1,0,22
"",8,331,69,192,34,7,16,1,1,11
"",9,283,34,181,29,5,14,1,0,19
"",10,509,79,307,60,7,22,1,1,32
Hamlin,,"4,214",714,"2,481",506,77,199,17,4,216
Parma,,,,,,,,,,
"",1,583,101,335,83,4,28,2,0,30
"",2,637,92,409,70,6,23,2,0,35
"",3,479,71,322,41,5,21,1,0,18
"",4,517,68,308,70,12,19,1,0,39
"",5,373,56,223,55,8,21,2,0,8
Parma,,,,,,,,,,
"",6,250,37,159,25,2,16,0,0,11
"",7,492,72,307,68,7,18,1,1,18
"",8,642,97,405,74,12,25,1,0,28
"",9,545,112,309,68,4,24,0,0,28
"",10,544,61,321,98,11,27,1,0,25
"",11,581,103,334,72,11,27,2,0,32
"",12,657,124,384,56,13,40,2,0,38
"",13,932,141,594,97,14,42,4,0,40
"",14,464,80,269,53,11,23,1,0,27
"",15,597,67,368,71,12,38,3,0,38
Parma,,"8,293","1,282","5,047","1,001",132,392,23,1,415
TOWNS,,"96,171","25,127","50,784","8,258","2,126","4,309",459,43,"5,065"
GRAND TOTAL:,,"124,242","39,680","58,190","9,405","3,084","5,350",629,57,"7,847"
