Leg. Dist. 07,,,,,,,,,,,
"",14,368,255,59,9,18,8,10,0,0,9
"",15,374,213,91,24,19,11,3,3,1,9
"",16,300,134,138,14,2,5,2,0,0,5
"",17,258,201,35,4,1,1,3,0,0,13
Brighton,,,,,,,,,,,
"",18,422,286,91,10,22,3,6,0,0,4
"",19,280,180,59,16,12,3,5,1,0,4
"",20,355,230,67,18,12,3,6,2,2,15
"",21,387,234,91,14,17,7,13,1,0,10
"",22,445,288,107,15,10,4,9,1,0,11
"",23,330,230,65,11,10,1,4,1,0,8
"",24,477,296,111,25,16,11,5,3,0,10
"",25,342,232,62,10,19,7,5,0,0,7
"",26,352,200,101,16,17,5,3,1,0,9
"",27,332,214,76,15,10,4,7,0,0,6
"",28,570,369,137,17,23,2,8,3,0,11
"",29,344,194,112,17,7,6,4,3,0,1
"",30,788,564,138,16,27,10,12,1,1,19
"",31,371,248,77,7,16,5,10,1,1,6
"",32,475,317,94,16,25,5,12,1,0,5
"",33,466,303,110,13,16,6,8,2,0,8
"",34,429,252,104,25,18,10,10,1,0,9
"",35,393,259,67,17,28,4,3,0,0,15
"",36,408,251,76,21,14,10,11,0,1,24
"",37,327,216,70,8,15,11,4,0,0,3
"",38,472,286,116,21,16,10,9,1,1,12
"",39,358,201,96,23,14,7,10,1,0,6
"",40,711,491,137,20,17,14,12,4,2,14
"",41,627,406,132,23,23,15,14,2,1,11
"",42,143,91,29,10,7,3,3,0,0,0
"",43,479,302,111,15,10,8,7,1,1,24
Brighton,,,,,,,,,,,
"",44,175,105,38,5,7,2,5,2,2,9
"",45,332,192,96,15,11,4,3,2,0,9
"",46,254,177,52,4,2,2,4,0,0,13
Brighton,,"19,010","12,056","4,374",708,717,308,331,57,24,435
Chili,,,,,,,,,,,
"",1,342,131,156,32,5,11,2,1,0,4
"",2,526,140,284,54,15,15,6,1,0,11
"",3,519,211,210,43,15,9,15,2,1,13
"",4,346,124,157,35,9,5,2,3,0,11
"",5,424,162,192,36,6,13,2,2,0,11
"",6,443,155,198,46,11,5,12,1,1,14
"",7,271,132,97,17,10,4,1,1,0,9
"",8,458,150,232,43,9,6,2,5,0,11
"",9,436,157,204,40,16,6,7,1,1,4
"",10,309,97,134,45,10,8,4,2,1,8
"",11,473,166,237,28,12,18,4,2,0,6
"",12,443,161,212,35,7,11,3,2,2,10
"",13,631,197,326,53,10,16,8,5,0,16
"",14,442,135,225,45,14,13,2,0,0,8
"",15,374,121,174,39,3,17,6,3,2,9
"",16,842,283,417,79,21,16,8,1,0,17
"",17,"1,027",338,539,75,14,23,7,3,1,27
"",18,489,162,252,32,13,14,6,2,0,8
"",19,415,190,176,22,11,7,3,0,0,6
"",20,600,243,257,46,16,13,7,1,0,17
"",21,302,120,134,18,8,7,3,2,1,9
Chili,,,,,,,,,,,
"",22,512,258,164,31,24,11,5,0,1,18
"",23,349,115,172,33,13,4,3,0,0,9
"",24,935,405,376,72,19,28,3,4,0,28
"",25,386,207,111,27,15,12,4,1,0,9
"",26,585,168,290,58,15,20,8,2,0,24
"",27,417,156,182,41,9,9,6,1,1,12
"",28,362,151,139,34,11,6,3,3,0,15
"",29,285,101,125,31,8,9,1,4,0,6
"",30,309,134,116,29,12,7,4,1,0,6
"",31,430,176,199,26,12,8,4,1,0,4
"",32,496,175,236,43,7,12,8,0,0,15
Chili,,"15,178","5,621","6,923","1,288",380,363,159,57,12,375
Clarkson,,,,,,,,,,,
